bin	CAPES_S11	CAPES_S21	CAPES_S7
SPAdesHybrid-CAPES_S11.16.fa	19.1746	0.02230605	27.3444
SPAdesHybrid-CAPES_S11.17.fa	26.2098	13.4919	0.0374911
SPAdesHybrid-CAPES_S11.18.fa	7.29142	0.0	0.0
SPAdesHybrid-CAPES_S11.19.fa	6.46692	0.0	0.0
SPAdesHybrid-CAPES_S11.2.fa	16.3396	0.0	0.0
SPAdesHybrid-CAPES_S11.20.fa	43.8158	31.7014	0.259625
SPAdesHybrid-CAPES_S11.21.fa	12.1722	0.0	0.0
SPAdesHybrid-CAPES_S11.22.fa	27.8663	11.9141	0.026442300000000002
SPAdesHybrid-CAPES_S11.23.fa	20.2507	0.0	0.0
SPAdesHybrid-CAPES_S11.24.fa	40.82545	76.38755	65.12625
SPAdesHybrid-CAPES_S11.25.fa	3.53104	21.5614	5.2800650000000005
SPAdesHybrid-CAPES_S11.26.fa	34.64365	0.35615749999999996	0.712612
SPAdesHybrid-CAPES_S11.27.fa	7.035765	0.0	0.0
SPAdesHybrid-CAPES_S11.28.fa	26.0932	17.6246	0.0526557
SPAdesHybrid-CAPES_S11.29.fa	9.059510000000001	0.0	0.0
SPAdesHybrid-CAPES_S11.3.fa	39.56350000000001	76.05865	59.47235000000001
SPAdesHybrid-CAPES_S11.30.fa	25.6013	16.4907	0.0358135
SPAdesHybrid-CAPES_S11.31.fa	42.4441	67.3183	54.9929
SPAdesHybrid-CAPES_S11.32.fa	6.7701199999999995	0.0	0.0
SPAdesHybrid-CAPES_S11.33.fa	41.77325	3.679425	0.9401745000000001
SPAdesHybrid-CAPES_S11.34.fa	17.691699999999994	0.0	0.03153415
SPAdesHybrid-CAPES_S11.35.fa	38.5103	71.9578	59.691
SPAdesHybrid-CAPES_S11.36.fa	1.10837	0.0	8.367339999999999
SPAdesHybrid-CAPES_S11.37.fa	34.7084	28.3467	7.90792
SPAdesHybrid-CAPES_S11.38.fa	13.6166	0.00537446	0.0
SPAdesHybrid-CAPES_S11.39.fa	52.844	0.0189441	0.021588999999999997
SPAdesHybrid-CAPES_S11.4.fa	2.725885	0.09666005	0.0
SPAdesHybrid-CAPES_S11.40.fa	27.14295	16.163	0.0414517
SPAdesHybrid-CAPES_S11.41.fa	48.4606	1.123425	4.461995
SPAdesHybrid-CAPES_S11.42.fa	54.8531	25.6339	0.331549
SPAdesHybrid-CAPES_S11.43.fa	16.71345	0.0519191	31.02965
SPAdesHybrid-CAPES_S11.44.fa	2.77126	0.0	0.0
