task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
158	e0/aaed7a	42f779fd-d16e-411d-956b-3f0252a5688d	NFCORE_MAG:MAG:CAT (SPAdes-CAPES_S7-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:02:13.606	4h 38m 39s	3h 24m 47s	646.1%	9.4 GB	14.2 GB	198.5 GB	26.3 GB
242	f0/91cbcb	9055cceb-2345-4ed6-a87b-8be7598b44d5	NFCORE_MAG:MAG:CAT (SPAdes-CAPES_S21-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:02:43.301	4h 38m 40s	3h 32m 16s	641.1%	9.1 GB	13.8 GB	201.8 GB	29.6 GB
378	0c/af6276	8e5c595c-c6fb-48cc-9f2f-0f590a4d2433	NFCORE_MAG:MAG:CAT (SPAdesHybrid-CAPES_S21-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:04:53.531	4h 51m 40s	3h 13m 45s	607.7%	9.6 GB	14.3 GB	207.4 GB	35.2 GB
418	2e/83d345	24b24de7-8080-4c24-9989-cd2beb62b27b	NFCORE_MAG:MAG:CAT (SPAdes-CAPES_S11-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:05:43.664	4h 50m 59s	3h 4m 18s	626.7%	9.8 GB	14.4 GB	216.2 GB	44 GB
325	d7/5b2593	558ce167-67db-40c5-b4bc-ec0135853f02	NFCORE_MAG:MAG:CAT (MEGAHIT-CAPES_S11-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:04:13.636	4h 56m 39s	3h 25m 35s	616.5%	9.8 GB	14.3 GB	217.1 GB	44.9 GB
569	83/6f1ecd	7f0b10fb-0036-40b4-82aa-2285a812be40	NFCORE_MAG:MAG:GTDBTK:GTDBTK_CLASSIFY (MEGAHIT-CAPES_S11)	COMPLETED	0	2021-07-30 02:56:04.487	2h 4m 49s	1h 23m 23s	76.0%	206.3 GB	454.6 GB	11.6 GB	661.1 MB
567	d9/ab29d9	83646354-51fa-4b7d-a4ea-0271353c0490	NFCORE_MAG:MAG:GTDBTK:GTDBTK_CLASSIFY (SPAdes-CAPES_S11)	COMPLETED	0	2021-07-30 02:56:04.058	2h 54m 49s	1h 54m 2s	55.6%	205.9 GB	457.6 GB	11.8 GB	684.5 MB
566	99/66b1ab	73115324-e9db-4664-9ced-6680726d169c	NFCORE_MAG:MAG:GTDBTK:GTDBTK_CLASSIFY (SPAdesHybrid-CAPES_S11)	COMPLETED	0	2021-07-30 02:56:04.073	2h 55m 39s	1h 31m 22s	73.3%	206 GB	457.6 GB	15.4 GB	749.7 MB
471	10/2c4d4a	9ce9946f-b195-4c1a-a4e5-6a00fa7bce53	NFCORE_MAG:MAG:CAT (SPAdesHybrid-CAPES_S11-CAT_prepare_20210107)	COMPLETED	0	2021-07-30 00:06:04.024	5h 59m 19s	4h 10s	654.5%	10.1 GB	14.3 GB	223.6 GB	51.3 GB
571	99/7536e9	bde0c869-2f35-40a4-b9a5-a279951b0361	NFCORE_MAG:MAG:GTDBTK:GTDBTK_CLASSIFY (SPAdes-CAPES_S21)	COMPLETED	0	2021-07-30 02:56:04.917	3h 11m 28s	1h 20m 25s	81.7%	206 GB	457.6 GB	13.1 GB	612 MB
